paper_id,title,authors,year,venue,doi,preprint_id,url,source_database,abstract,model_family,downstream_application,omics_modality
pmid_42017459,Cholesterol-Induced Senescent Macrophages and Evaluation of Cellular Senescence Phenotypes.,Salladay-Perez Ivan A; Covarrubias Anthony J,2026,Current protocols,10.1002/cpz1.70355,,https://pubmed.ncbi.nlm.nih.gov/42017459/,PubMed,"Recent discoveries linking cellular senescence to inflammaging and age-associated metabolic diseases have intensified interest in defining the mechanisms that drive cellular senescence. Single-cell transcriptomic studies have identified tissue-resident macrophages, long-lived and self-renewing innate immune cells, as a major reservoir of senescent cells and key contributors to age-associated chronic inflammation. Despite this progress, the upstream drivers that induce and stabilize macrophage senescence during aging and other comorbidities remain incompletely defined. Accumulating evidence now supports cholesterol loading as a causal trigger of macrophage senescence, both in vitro and in vivo under hypercholesterolemic and high-fat diet conditions. However, a critical gap in the field has been the lack of well-defined experimental models to determine whether cholesterol-loaded macrophages undergo true, stable cellular senescence, rather than a transient stress response that engages senescence-associated pathways. Addressing this gap is essential for mechanistic studies and therapeutic targeting. Here, we describe the step-by-step methods to generate senescent macrophages using acetylated low-density lipoprotein (Ac-LDL), a model that we established and benchmarked against canonical DNA damage-induced senescence macrophage models. We demonstrate that prolonged cholesterol loading drives a stable and reproducible senescent state in macrophages, characterized by persistent cell-cycle arrest, expression of senescence-associated secretory phenotype genes, and hallmark senescent phenotypes. This article provides a detailed protocol for generating and validating cholesterol-induced senescent macrophages using Ac-LDL, including complementary senescence assays to distinguish bona fide senescence from transient activation states. By standardizing experimental approaches to model macrophage senescence, these protocols will facilitate mechanistic studies and accelerate the development of targeted pharmacological strategies aimed at senescent immune cells in aging and metabolic disease. © 2026 Wiley Periodicals LLC. Basic Protocol: Ac-LDL-induced macrophage senescence in vitro Support Protocol: Evaluation of cellular senescence in Ac-LDL induced macrophage senescence.",foundation_scale_pretraining,"generation, multimodal_integration","scRNA-seq, Protein/CITE-seq"
pmid_42015658,M6A demethylase ALKBH5 mediated Igfbp4 mRNA m6A modification drives fibroblast activation and pathological upper airway fibrosis.,Wang Jing; Liao Ziwei; Xu Mengrou; Zheng Yangyang; Hu Bin,2026,Clinical and translational medicine,10.1002/ctm2.70656,,https://pubmed.ncbi.nlm.nih.gov/42015658/,PubMed,"Laryngotracheal stenosis (LTS) is a fibroproliferative disease of the upper airway characterised by dysregulated extracellular matrix deposition and fibroblast activation. AlkB Homologue 5 (ALKBH5) has emerged as a key regulator of disease pathogenesis by modulating mRNA stability, yet its role in LTS remains unclear. We established a LTS rat model and observed mRNA m6A methylation and m6A demethylase ALKBH5 in stenotic tissues. Using single-cell RNA sequencing, in vivo ALKBH5 knockout models, and in vitro gain- and loss-of-function assays, we explored the role of ALKBH5 in fibroblast activation and fibrosis. The downstream target of ALKBH5 and its underlying molecular mechanism were identified through integrating RNA-seq and MeRIP-seq analyses, and further validated by RNA immunoprecipitation (RIP)-quantitative PCR (qPCR), dual-luciferase reporter assays, and in vitro gain- and loss-of-function experiments. In addition, the therapeutic potential of exogenous modulation of ALKBH5 target was evaluated in LTS models. ALKBH5 acted as a key pro-fibrotic regulator by enhancing the expression of COL1A1, COL3A1 and alpha-smooth muscle actin (α-SMA), increasing fibroblast contractility, and promoting airway fibrosis progression in LTS. RNA-seq and MeRIP-seq analyses identified Igfbp4 as a direct target of ALKBH5. RIP-qPCR and luciferase reporter assay confirmed ALKBH5 binding to the 3'-untranslated region of Igfbp4. Functional studies revealed that IGFBP4 inhibited β-catenin signalling and attenuated fibroblast activation. Overexpression of IGFBP4 partly reversed the profibrotic effects of ALKBH5, both in vitro and in vivo, significantly reducing collagen deposition and airway narrowing in LTS rats. Our findings identify a novel ALKBH5-IGFBP4 regulatory axis that drives fibroblast activation and airway fibrosis in LTS. Targeting ALKBH5 or supplementing IGFBP4 may become novel therapeutic strategies for LTS.",hybrid_symbolic_statistical,perturbation_prediction,"scRNA-seq, Methylation/Epigenomics"
pmid_42015528,Ischemia-free liver transplantation alleviates liver transplant injury caused by CD69+CD103-CD8+T cells by regulating HIF-2α expression.,Chen Zhitao; Ji Jiahao; Dong Yuqi; Ye Dongmei; Jia Yu,2026,"Journal of immunology (Baltimore, Md. : 1950)",10.1093/jimmun/vkag005,,https://pubmed.ncbi.nlm.nih.gov/42015528/,PubMed,"In this study, we investigate the mechanisms by which ischemia-free liver transplantation (IFLT) mitigates ischemia-reperfusion injury (IRI) and identify key therapeutic targets. Clinical data from 200 patients were collected to evaluate perioperative recovery and overall outcomes. Liver tissues were obtained from donors at the preprocurement, end-of-preservation, and postperfusion stages. Gene expression profiles were examined using single-cell transcriptomic analysis. Phenotypic and functional characteristics were evaluated using flow cytometry, and protein expression was assessed using immunofluorescence, immunohistochemistry, and enzyme-linked immunosorbent assay. Animal models of IRI were employed to examine the effects of HIF-2α inhibition in vivo. PT-2385 was administered to inhibit HIF-2α, and 100 µg of anti-mouse CD8α monoclonal antibody was injected to deplete CD8+ T cells. Patients in the IFLT group exhibited a lower incidence of early allograft dysfunction and a higher 1-yr survival rate. Differential gene expression analysis of IRI-related genes in 14 paired liver samples from conventional liver transplantation revealed significant upregulation of HIF-2α in postreperfusion tissues, predominantly expressed in CD69+CD103-CD8+ T cells. The up-regulated genes were enriched in TNF-related signaling pathways. Inhibition of HIF-2α reduced the number of CD69+CD103-CD8+ T cells and alleviated liver injury in vivo. In IFLT, genes in this pathway were not significantly upregulated. Under HIF-2α stimulation, CD69+CD103-CD8+ T cells exacerbate organ and tissue injury through TNF-related signaling. In IFLT, the absence of significant pathway upregulation suggests effective prevention of IRI.",multimodal_fusion,multimodal_integration,"scRNA-seq, Protein/CITE-seq"
pmid_42014710,Chromosome-level genome assembly of the sponge Halisarca dujardinii.,Zubarev Vasiliy; Cherkasov Alexander; Sidorov Leonid; Adameyko Kim I; Finoshin Alexander D,2026,Scientific data,10.1038/s41597-026-07161-y,,https://pubmed.ncbi.nlm.nih.gov/42014710/,PubMed,"Halisarca dujardinii is a marine sponge known for its ability to completely regenerate via cell reaggregation. Here we present the first chromosome-level genome assembly of H. dujardinii, generated using Oxford Nanopore long reads, Illumina short reads, and Hi-C data. The final assembly spans 226.5 Mbp and is organized into 21 chromosome-scale scaffolds, representing the full nuclear genome, with an assembly N50 of 10.1 Mbp. In addition, we report the complete mitochondrial genome for H. dujardinii, assembled as a circular molecule and annotated to contain 14 protein-coding genes. We provide a comprehensive genome annotation comprising 14,565 nuclear protein-coding genes, of which 85.6% are functionally annotated, along with repetitive elements and non-coding RNAs. Transcript models were refined using extensive bulk and single-cell RNA sequencing data, enabling accurate annotation of 3' untranslated regions. This new genomic resource provides a valuable foundation for investigating the molecular basis of sponge regeneration, as well as for comparative studies of sponge evolution and marine biology.",hybrid_symbolic_statistical,"cell_type_annotation, generation, multimodal_integration",Protein/CITE-seq
pmid_42014408,Multivariate genetic analysis reveals three distinct pathological dimensions in musculoskeletal disorders.,Gong Weiming; Guo Yantong; Sun Xiubin; Wang Shukang; Xue Fuzhong,2026,Nature communications,10.1038/s41467-026-72164-7,,https://pubmed.ncbi.nlm.nih.gov/42014408/,PubMed,"The substantial overlap in symptoms and pathology across musculoskeletal disorders underscores the need to investigate their shared genetic mechanism. Using multivariate genetic modeling, we identify three distinct pathological factors, including a degenerative musculoskeletal disorder factor, a bone mass factor, and an autoimmune disorder factor, which collectively explain 48.27% of the total genetic variance in musculoskeletal disorders. Genome-wide association analyses of these factors identify 795 genomic risk loci, 136 of which are novel, along with 273 candidate genes, 20 of which interact with existing drugs. All three factors exhibit significant heritability and polygenic architecture, while showing low genetic correlations and little overlap in associated loci. Polygenic enrichment analyses demonstrate the potential roles of brain-joint neural axis underlying the degenerative musculoskeletal disorder factor, which is highly enriched in mouse embryonic brain tissue (P = 1.12 × 10) and neuronal cells annotated from a single-cell atlas of human embryonic skeletal development (P = 1.88 × 10), as well as the gut-joint immune axis underlying the autoimmune disorder factor, which is highly enriched in mesenteric lymph node (P = 1.99 × 10) and colonic epithelium (P = 4.36 × 10). The distinct pathological dimensions underlying three factors highlight the importance of genetic-guided stratification for optimizing the co-prevention and co-management of musculoskeletal disorders.",hybrid_symbolic_statistical,perturbation_prediction,unspecified
pmid_42013315,scSurvival: Single-Cell Survival Analysis of Clinical Cancer Cohort Data at Cellular Resolution.,Ren Tao; Zhao Faming; Chen Canping; Zhou Le; Wu Ling-Yun,2026,Cancer discovery,10.1158/2159-8290.CD-25-0965,,https://pubmed.ncbi.nlm.nih.gov/42013315/,PubMed,"Survival analysis is fundamental to cancer research. Advances in technology have enabled an increasing number of cohort-level cancer studies to incorporate single-cell sequencing alongside clinical survival data. However, no effective strategy currently exists for directly modeling survival outcomes from single-cell data. To address this gap, we present scSurvival, an attention-based multiple-instance Cox regression framework that models each tumor sample as an ensemble of cells to predict survival outcomes at both the patient and single-cell levels. To handle high dimensionality, sparsity, and batch effects, scSurvival integrates a variational autoencoder-based feature extraction module with generative modeling to enhance feature robustness and cross-batch generalizability. Comprehensive simulations demonstrate scSurvival's superior performance and scalability. In melanoma and liver cancer single-cell RNA sequencing (scRNA-seq) cohorts, scSurvival accurately predicts patient outcomes and identifies the cell subpopulations most critical to survival. Overall, scSurvival enables robust prediction of patient survival while uncovering survival-associated cell subpopulations, advancing single-cell survival analysis in cancer research. Survival analysis is central to clinical oncology, yet no effective tools currently model survival outcomes directly from single-cell data. scSurvival bridges this gap by predicting patient outcomes and identifying key subpopulations from scRNA-seq with survival information, enabling scalable analyses and promoting broader adoption of cohort-level single-cell profiling in cancer research.",variational_autoencoder,batch_correction,scRNA-seq
pmid_42013055,Multi-Omics Approaches to Cardiovascular Disease: Technological Innovations and Clinical Translation.,Zehra Binte; Vinod Nidhina; BinEshaq Shuhd; Aleksandrova Inna; Tambi Richa,2026,American journal of physiology. Heart and circulatory physiology,10.1152/ajpheart.00024.2026,,https://pubmed.ncbi.nlm.nih.gov/42013055/,PubMed,"Cardiovascular diseases (CVDs) remain the leading cause of global morbidity and mortality, reflecting a persistent gap between clinical phenotyping and the molecular mechanisms that govern disease initiation, progression, and inter-individual variability. Recent advances in emerging technologies have fundamentally reshaped cardiovascular physiology by enabling high-resolution, cross-layer profiling of the heart and vasculature across genomic, epigenomic, transcriptomic, proteomic, metabolomic, lipidomic, glycomic, and fluxomic layers, increasingly at single-cell and spatial resolution. These approaches reveal CVD as a coordinated, multi-layered process driven by dynamic interactions among cell types, regulatory programs, and metabolic states, rather than isolated gene-level defects. In this review, we synthesize how emerging multi-omic, computational, and functional genomics technologies are redefining the study of cardiovascular disease across molecular, cellular, and tissue levels. We highlight recent innovations in single-cell and spatial atlases, long-read sequencing, proteomics and metabolomics, integrative data modeling, and functional omics approaches, including genome-scale perturbation screens and single-cell perturbation frameworks. These platforms enable mechanistic dissection of regulatory circuits, distinguish primary disease drivers from secondary adaptations, and directly assess therapeutic reversibility, advancing the field beyond associative biomarker discovery toward mechanism-guided target prioritization. We further discuss key methodological and translational challenges accompanying high-dimensional cardiovascular data, including pre-analytical variability, control selection, temporal misalignment across molecular layers, population diversity and reference bias. By integrating technological innovation with computational rigor and functional validation, this review frames emerging omics-enabled strategies as a unified, physiologically grounded framework for translating molecular insight into clinically meaningful cardiovascular phenotypes and advancing precision cardiovascular medicine.",multimodal_fusion,"cell_type_annotation, perturbation_prediction, biomarker_discovery, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial, Methylation/Epigenomics"
pmid_42011505,Glo1 promotes glioma progression by modulating Sox2 transcriptional networks in glioma stem-like cells.,Choi Dong-Joo; Ko Yeunjung; He Peihao; Song Eun-Ah Christine; Choi Jong Min,2026,Neuro-oncology,10.1093/neuonc/noag090,,https://pubmed.ncbi.nlm.nih.gov/42011505/,PubMed,"Glioma stem cells (GSCs) contribute to tumor heterogeneity and are resistant to conventional therapies, making them a significant obstacle to achieving long-term treatment success. However, efforts to eliminate GSCs have been hindered by the lack of reliable markers that provide functional insight into these processes. Therefore, identifying GSC-associated markers is critical for understanding glioma tumorigenesis and for developing targeted therapeutic strategies that can effectively suppress tumor progression and recurrence. We employed single-cell transcriptomics, functional genomics, in vitro assays, and preclinical GBM models, including patient-derived xenografts (PDX) and in utero electroporation (IUE)-based models, to investigate the role of Glyoxalase 1 (Glo1) in GSCs and GBM. Manipulation of Glo1 was achieved through genetic overexpression, knockdown, and pharmacological inhibition. Glo1 was initially identified through integrative single-cell transcriptomic analyses of human and mouse GBM models, where it is enriched in GSC populations defined by stemness markers. Genetic manipulation of Glo1 indicates that it promotes GSC proliferation and tumor progression, while also being associated with poor prognosis. In addition, pharmacological inhibition of Glo1 significantly reduced GSC viability and tumor growth, and prolonged survival in both PDX and IUE-GBM models. Mechanistically, Glo1 modulation disrupted transcriptional programs associated with GSC maintenance, in part by modulating Sox2 activity. These findings demonstrate Glo1 as a key regulator of GSC biology and highlight its potential as a therapeutic target for GSC-directed intervention in GBM. Targeting Glo1 may offer a novel strategy to impair GSC-driven tumor progression and improve GBM treatment outcomes.",foundation_scale_pretraining,perturbation_prediction,scRNA-seq
pmid_42011025,Single-cell co-mapping reveals relationship between chromatin state and gene expression in early zebrafish development.,Bhardwaj Vivek; Griffa Alberto; Vinas Gaza Helena; Zeller Peter; van Oudenaarden Alexander,2026,eLife,10.7554/eLife.110400,,https://pubmed.ncbi.nlm.nih.gov/42011025/,PubMed,"Establishing a cell type-specific chromatin landscape is crucial for the maintenance of cell identity during embryonic development. However, our knowledge of how this landscape is set during vertebrate embryogenesis has been limited, due to the lack of methods to jointly detect chromatin modifications and gene expression in the same cell. Here we present a multimodal measurement of full-length transcriptome and histone modifications in individual cells during early embryonic development in zebrafish. We show that before the formation of germ layers, the chromatin and transcription states of cells are uncoupled and become progressively connected during gastrulation and somitogenesis. Silencing of developmental genes is achieved by local spreading of repressive chromatin together with cell type-specific demethylation. Combining transcription factor (TF) expression and chromatin states within an interpretable machine learning model, we classify TFs as lineage-specific activators and repressors and identify a subset of TFs that are epigenetically regulated. Altogether, our data resolves the dynamic relationship between chromatin and transcription during early vertebrate development and clarifies how these two layers interact to establish cell identity.",multimodal_fusion,"cell_type_annotation, trajectory_inference, multimodal_integration","scRNA-seq, scATAC-seq, Methylation/Epigenomics"
pmid_42010443,Steady-state Purkinje cell activity has limited predictive power for cerebellar output in disease.,Lyon Alyssa M; Hernandez-Castanon Viviana; van der Heijden Meike E,2026,The Journal of physiology,10.1113/JP290000,,https://pubmed.ncbi.nlm.nih.gov/42010443/,PubMed,"Cerebellar dysfunction can cause ataxia, dystonia, and tremor. Cerebellar nuclei neurons, the main cerebellar output neurons, exhibit distinct spike patterns in mouse models for different movement disorders. However nuclei spike pattern changes often arise from misfiring, miswiring, or degenerating Purkinje cells, which form the predominant input onto nuclei cells. It is often assumed that changes in Purkinje cell spike patterns cause inverse changes in nuclei cell spike patterns because Purkinje cells form GABAergic synapses onto cerebellar nuclei cells. We test this hypothesis by investigating whether a systematic relationship between spike patterns in Purkinje and nuclei cells exists. We analysed parameters relating to spike rate and irregularity from single-cell in vivo electrophysiological recordings of cerebellar cells in five mouse models for cerebellar movement disorders. We examined whether changes in steady-state Purkinje cell spike patterns could predict nuclei cell spike pattern changes. We found that some parameters for steady-state spike irregularity were positively correlated between Purkinje and nuclei cells, but no - especially no inverse - relationship was observed between steady-state Purkinje and nuclei cell spike rate. We also did not observe an increased steady-state nuclei cell spike rate in mice with silenced or degenerating Purkinje cells. Because we find no systematic relationship between steady-state Purkinje and nuclei spike activity, it is not possible to reliably predict disease-associated nuclei spike patterns based on single-cell Purkinje recordings. Moreover, normal Purkinje cell spike patterns can mask disease-causing spike patterns in cerebellar nuclei cells, underscoring the importance of studying cerebellar nuclei cell function in cerebellar disease. KEY POINTS: This study tests the hypothesis that cerebellar Purkinje cell spike rates inversely change with nuclei cell spike rates in cerebellar disease models. We found no reliable correlation in steady-state spike rate parameters between Purkinje and nuclei cells; across mouse models differences in Purkinje cell firing rate were not reliably associated with differences in nuclei cell firing rate. We observed a positive correlation for steady-state spike irregularity between Purkinje and nuclei cells, but also found nuclei cell irregularity changes in mice without Purkinje cell spike irregularity. The findings emphasize the need to directly study nuclei cell function in cerebellar disease, as Purkinje cell spike patterns do not reliably correlate with nuclei cell changes or even mask disease states. The complex relationship may stem from nuclei cell's intrinsic adaptive properties, developmental compensation, or converging Purkinje cell inputs.",transformer_masked_lm,unspecified,unspecified
