,paper_id,title,authors,year,venue,doi,source_database
1,crossref_10.1177_15330338261426225_v2_review1,"Review for ""Artificial Intelligence Approaches for Predictive Biomarker Discovery in Non-Small Cell Lung Cancer""",,2026,,10.1177/15330338261426225/v2/review1,Crossref
2,pmid_42017459,Cholesterol-Induced Senescent Macrophages and Evaluation of Cellular Senescence Phenotypes.,Salladay-Perez Ivan A; Covarrubias Anthony J,2026,Current protocols,10.1002/cpz1.70355,PubMed
3,pmid_42015658,M6A demethylase ALKBH5 mediated Igfbp4 mRNA m6A modification drives fibroblast activation and pathological upper airway fibrosis.,Wang Jing; Liao Ziwei; Xu Mengrou; Zheng Yangyang; Hu Bin,2026,Clinical and translational medicine,10.1002/ctm2.70656,PubMed
4,pmid_42015528,Ischemia-free liver transplantation alleviates liver transplant injury caused by CD69+CD103-CD8+T cells by regulating HIF-2α expression.,Chen Zhitao; Ji Jiahao; Dong Yuqi; Ye Dongmei; Jia Yu,2026,"Journal of immunology (Baltimore, Md. : 1950)",10.1093/jimmun/vkag005,PubMed
5,pmid_42014710,Chromosome-level genome assembly of the sponge Halisarca dujardinii.,Zubarev Vasiliy; Cherkasov Alexander; Sidorov Leonid; Adameyko Kim I; Finoshin Alexander D,2026,Scientific data,10.1038/s41597-026-07161-y,PubMed
6,pmid_42014408,Multivariate genetic analysis reveals three distinct pathological dimensions in musculoskeletal disorders.,Gong Weiming; Guo Yantong; Sun Xiubin; Wang Shukang; Xue Fuzhong,2026,Nature communications,10.1038/s41467-026-72164-7,PubMed
7,pmid_42013315,scSurvival: Single-Cell Survival Analysis of Clinical Cancer Cohort Data at Cellular Resolution.,Ren Tao; Zhao Faming; Chen Canping; Zhou Le; Wu Ling-Yun,2026,Cancer discovery,10.1158/2159-8290.CD-25-0965,PubMed
8,pmid_42013055,Multi-Omics Approaches to Cardiovascular Disease: Technological Innovations and Clinical Translation.,Zehra Binte; Vinod Nidhina; BinEshaq Shuhd; Aleksandrova Inna; Tambi Richa,2026,American journal of physiology. Heart and circulatory physiology,10.1152/ajpheart.00024.2026,PubMed
9,pmid_42011505,Glo1 promotes glioma progression by modulating Sox2 transcriptional networks in glioma stem-like cells.,Choi Dong-Joo; Ko Yeunjung; He Peihao; Song Eun-Ah Christine; Choi Jong Min,2026,Neuro-oncology,10.1093/neuonc/noag090,PubMed
10,pmid_42011025,Single-cell co-mapping reveals relationship between chromatin state and gene expression in early zebrafish development.,Bhardwaj Vivek; Griffa Alberto; Vinas Gaza Helena; Zeller Peter; van Oudenaarden Alexander,2026,eLife,10.7554/eLife.110400,PubMed
11,pmid_42010443,Steady-state Purkinje cell activity has limited predictive power for cerebellar output in disease.,Lyon Alyssa M; Hernandez-Castanon Viviana; van der Heijden Meike E,2026,The Journal of physiology,10.1113/JP290000,PubMed
12,pmid_42009727,AKAP12-LMOD1 signaling defines stromal CAF activation and epithelial junction loss in colorectal cancer.,Ye Qian-Wen; Liu Yuan-Jie; Xu Guo; Chen Yu-Gen; Li Jie-Pin,2026,Scientific reports,10.1038/s41598-026-44680-5,PubMed
13,pmid_42009648,Unveiling DEFB1 as a novel driver and promising therapeutic target in lung adenocarcinoma.,Liang Jiaqi; Yi Yanjun; Zhu Junkan; Zhang Huan; Hu Yidu,2026,Cell death & disease,10.1038/s41419-026-08748-4,PubMed
14,pmid_42009636,Identification of a new population of Tnn progenitors to form tendon enthesis fibrocartilage.,Zhang Tao; Zhang Lin; Yuan Ziyang; Wang Linfeng; Hu Jianzhong,2026,Bone research,10.1038/s41413-026-00519-3,PubMed
15,pmid_42007508,Re-analysis of single-cell transcriptomics reveals a critical role of TNS1 gene in driving contractile VSMC transdifferentiation into macrophage-like SMC and atherosclerotic plaque instability.,Yang Shuang; Fu Rui; Ren Xiaoxiao; Sun Mengyi; Li Zhifan,2026,Clinical and translational medicine,10.1002/ctm2.70664,PubMed
16,pmid_42006286,Suggested experimental design and computational modeling to infer single-cell lipid dynamics from a single destructive measurement.,Jost Paul Jonas; Weindl Daniel; Wunderling Klaus; Thiele Christoph; Hasenauer Jan,2026,iScience,10.1016/j.isci.2026.115474,PubMed
