,title,model_family,downstream_application,omics_modality
1,Cholesterol-Induced Senescent Macrophages and Evaluation of Cellular Senescence Phenotypes.,foundation_scale_pretraining,"generation, multimodal_integration","scRNA-seq, Protein/CITE-seq"
2,M6A demethylase ALKBH5 mediated Igfbp4 mRNA m6A modification drives fibroblast activation and pathological upper airway fibrosis.,hybrid_symbolic_statistical,perturbation_prediction,"scRNA-seq, Methylation/Epigenomics"
3,Ischemia-free liver transplantation alleviates liver transplant injury caused by CD69+CD103-CD8+T cells by regulating HIF-2α expression.,multimodal_fusion,multimodal_integration,"scRNA-seq, Protein/CITE-seq"
4,Chromosome-level genome assembly of the sponge Halisarca dujardinii.,hybrid_symbolic_statistical,"cell_type_annotation, generation, multimodal_integration",Protein/CITE-seq
5,Multivariate genetic analysis reveals three distinct pathological dimensions in musculoskeletal disorders.,hybrid_symbolic_statistical,perturbation_prediction,unspecified
6,scSurvival: Single-Cell Survival Analysis of Clinical Cancer Cohort Data at Cellular Resolution.,variational_autoencoder,batch_correction,scRNA-seq
7,Multi-Omics Approaches to Cardiovascular Disease: Technological Innovations and Clinical Translation.,multimodal_fusion,"cell_type_annotation, perturbation_prediction, biomarker_discovery, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial, Methylation/Epigenomics"
8,Glo1 promotes glioma progression by modulating Sox2 transcriptional networks in glioma stem-like cells.,foundation_scale_pretraining,perturbation_prediction,scRNA-seq
9,Single-cell co-mapping reveals relationship between chromatin state and gene expression in early zebrafish development.,multimodal_fusion,"cell_type_annotation, trajectory_inference, multimodal_integration","scRNA-seq, scATAC-seq, Methylation/Epigenomics"
10,Steady-state Purkinje cell activity has limited predictive power for cerebellar output in disease.,transformer_masked_lm,unspecified,unspecified
11,AKAP12-LMOD1 signaling defines stromal CAF activation and epithelial junction loss in colorectal cancer.,spatial_omics,"perturbation_prediction, spatial_reconstruction, trajectory_inference, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
